tt corner
Delay	Output	Energy
-1.5e-11	0	1.15123e-11
-1.35e-11	0	1.15113e-11
-1.2e-11	0	1.15108e-11
-1.05e-11	0	1.15103e-11
-9e-12	0	1.151e-11
-7.5e-12	0	1.15095e-11
-6e-12	0	1.15097e-11
-4.5e-12	0	1.15099e-11
-3e-12	0	1.15103e-11
-1.5e-12	0	1.1512e-11
0	0	1.15155e-11
1.5e-12	1	1.15361e-11
3e-12	1	1.15248e-11
4.5e-12	1	1.1522e-11
6e-12	1	1.15202e-11
7.5e-12	1	1.15193e-11
9e-12	1	1.15186e-11
1.05e-11	1	1.15182e-11
1.2e-11	1	1.15184e-11
1.35e-11	1	1.15185e-11
1.5e-11	1	1.15188e-11
1.65e-11	1	1.15193e-11
1.8e-11	1	1.15202e-11
1.95e-11	1	1.15215e-11
2.1e-11	1	1.15235e-11
2.25e-11	1	1.15272e-11
2.4e-11	2	1.15507e-11
2.55e-11	2	1.1539e-11
2.7e-11	2	1.15376e-11
2.85e-11	2	1.15383e-11
3e-11	2	1.15431e-11
3.15e-11	3	1.15521e-11
3.3e-11	3	1.15474e-11
3.45e-11	3	1.15452e-11
3.6e-11	3	1.15441e-11
3.75e-11	3	1.15438e-11
3.9e-11	3	1.15443e-11
4.05e-11	3	1.15469e-11
4.2e-11	4	1.15713e-11
4.35e-11	4	1.15568e-11
4.5e-11	4	1.15532e-11
4.65e-11	4	1.15511e-11
4.8e-11	4	1.155e-11
4.95e-11	4	1.15495e-11
5.1e-11	4	1.15494e-11
5.25e-11	4	1.15502e-11
5.4e-11	4	1.15534e-11
5.55e-11	5	1.15723e-11
5.7e-11	5	1.15615e-11
5.85e-11	5	1.15585e-11
6e-11	5	1.15565e-11
6.15e-11	5	1.15556e-11
6.3e-11	5	1.1555e-11
6.45e-11	5	1.15552e-11
6.6e-11	5	1.15562e-11
6.75e-11	5	1.15601e-11
6.9e-11	6	1.15728e-11
7.05e-11	6	1.1566e-11
7.2e-11	6	1.15629e-11
7.35e-11	6	1.15611e-11
7.5e-11	6	1.15597e-11
7.65e-11	6	1.15586e-11
7.8e-11	6	1.1558e-11
7.95e-11	6	1.15574e-11
8.1e-11	6	1.15571e-11
8.25e-11	6	1.15568e-11
8.4e-11	6	1.15568e-11
8.55e-11	6	1.15569e-11
8.7e-11	6	1.15571e-11
8.85e-11	6	1.15577e-11
9e-11	6	1.15588e-11
9.15e-11	6	1.15612e-11
9.3e-11	6	1.1567e-11
9.45e-11	7	1.15765e-11
9.6e-11	7	1.15717e-11
9.75e-11	7	1.15699e-11
9.9e-11	7	1.15686e-11
1.005e-10	7	1.15679e-11
1.02e-10	7	1.15681e-11
1.035e-10	7	1.15682e-11
1.05e-10	7	1.15687e-11
1.065e-10	7	1.157e-11
1.08e-10	7	1.15719e-11
1.095e-10	7	1.15788e-11
1.11e-10	8	1.15874e-11
1.125e-10	8	1.1583e-11
1.14e-10	8	1.15809e-11
1.155e-10	8	1.15803e-11
1.17e-10	8	1.15805e-11
1.185e-10	8	1.15814e-11
1.2e-10	8	1.15843e-11
1.215e-10	9	1.16048e-11
1.23e-10	9	1.15939e-11
1.245e-10	9	1.15905e-11
1.26e-10	9	1.15889e-11
1.275e-10	9	1.15881e-11
1.29e-10	9	1.15878e-11
1.305e-10	9	1.1588e-11
1.32e-10	9	1.15892e-11
1.335e-10	9	1.15919e-11
1.35e-10	10	1.16096e-11
1.365e-10	10	1.16014e-11
1.38e-10	10	1.15985e-11
1.395e-10	10	1.15965e-11
1.41e-10	10	1.15955e-11
1.425e-10	10	1.15953e-11
1.44e-10	10	1.15957e-11
1.455e-10	10	1.15968e-11
1.47e-10	10	1.16011e-11
1.485e-10	11	1.16142e-11
1.5e-10	11	1.16073e-11
1.515e-10	11	1.16047e-11
1.53e-10	11	1.16032e-11
1.545e-10	11	1.16022e-11
1.56e-10	11	1.16019e-11
1.575e-10	11	1.16021e-11
1.59e-10	11	1.16037e-11
1.605e-10	11	1.16087e-11
1.62e-10	12	1.1619e-11
1.635e-10	12	1.16129e-11
1.65e-10	12	1.161e-11
1.665e-10	12	1.16083e-11
1.68e-10	12	1.16071e-11
1.695e-10	12	1.16058e-11
1.71e-10	12	1.16051e-11
1.725e-10	12	1.16044e-11
1.74e-10	12	1.16042e-11
1.755e-10	12	1.16041e-11
1.77e-10	12	1.16038e-11
1.785e-10	12	1.16039e-11
1.8e-10	12	1.16044e-11
1.815e-10	12	1.16054e-11
1.83e-10	12	1.16066e-11
1.845e-10	12	1.16091e-11
1.86e-10	12	1.16176e-11
1.875e-10	13	1.16229e-11
1.89e-10	13	1.16189e-11
1.905e-10	13	1.16174e-11
1.92e-10	13	1.16167e-11
1.935e-10	13	1.16162e-11
1.95e-10	13	1.16165e-11
1.965e-10	13	1.1617e-11
1.98e-10	13	1.16187e-11
1.995e-10	13	1.16234e-11
2.01e-10	14	1.16364e-11
2.025e-10	14	1.16303e-11
2.04e-10	14	1.16281e-11
2.055e-10	14	1.16266e-11
2.07e-10	14	1.16262e-11
2.085e-10	14	1.16261e-11
2.1e-10	14	1.16266e-11
2.115e-10	14	1.16278e-11
2.13e-10	14	1.16317e-11
2.145e-10	15	1.16467e-11
2.16e-10	15	1.16398e-11
2.175e-10	15	1.1637e-11
2.19e-10	15	1.16355e-11
2.205e-10	15	1.16345e-11
2.22e-10	15	1.16343e-11
2.235e-10	15	1.16348e-11
2.25e-10	15	1.16363e-11
2.265e-10	15	1.16406e-11
2.28e-10	16	1.1655e-11
2.295e-10	16	1.16474e-11
2.31e-10	16	1.16449e-11
2.325e-10	16	1.16437e-11
2.34e-10	16	1.16426e-11
2.355e-10	16	1.16425e-11
2.37e-10	16	1.16428e-11
2.385e-10	16	1.16443e-11
2.4e-10	16	1.16477e-11
2.415e-10	17	1.16617e-11
2.43e-10	17	1.1655e-11
2.445e-10	17	1.16521e-11
2.46e-10	17	1.16507e-11
2.475e-10	17	1.16496e-11
2.49e-10	17	1.16493e-11
2.505e-10	17	1.16496e-11
2.52e-10	17	1.1651e-11
2.535e-10	17	1.16589e-11
2.55e-10	18	1.16635e-11
2.565e-10	18	1.1659e-11
2.58e-10	18	1.16565e-11
2.595e-10	18	1.16548e-11
2.61e-10	18	1.16536e-11
2.625e-10	18	1.16528e-11
2.64e-10	18	1.16521e-11
2.655e-10	18	1.16516e-11
2.67e-10	18	1.16513e-11
2.685e-10	18	1.16511e-11
2.7e-10	18	1.16511e-11
2.715e-10	18	1.16511e-11
2.73e-10	18	1.16516e-11
2.745e-10	18	1.16523e-11
2.76e-10	18	1.16543e-11
2.775e-10	18	1.16574e-11
2.79e-10	18	1.1679e-11
2.805e-10	19	1.16687e-11
2.82e-10	19	1.16659e-11
2.835e-10	19	1.16642e-11
2.85e-10	19	1.16633e-11
2.865e-10	19	1.16634e-11
2.88e-10	19	1.16635e-11
2.895e-10	19	1.16643e-11
2.91e-10	19	1.16663e-11
2.925e-10	19	1.16718e-11
2.94e-10	20	1.16828e-11
2.955e-10	20	1.16773e-11
2.97e-10	20	1.16747e-11
2.985e-10	20	1.16737e-11
3e-10	20	1.16731e-11
3.015e-10	20	1.1673e-11
3.03e-10	20	1.16736e-11
3.045e-10	20	1.16755e-11
3.06e-10	20	1.16806e-11
3.075e-10	21	1.16929e-11
3.09e-10	21	1.1687e-11
3.105e-10	21	1.16835e-11
3.12e-10	21	1.16824e-11
3.135e-10	21	1.1682e-11
3.15e-10	21	1.16817e-11
3.165e-10	21	1.16823e-11
3.18e-10	21	1.16842e-11
3.195e-10	21	1.16901e-11
3.21e-10	22	1.16992e-11
3.225e-10	22	1.16942e-11
3.24e-10	22	1.16919e-11
3.255e-10	22	1.16906e-11
3.27e-10	22	1.16896e-11
3.285e-10	22	1.16895e-11
3.3e-10	22	1.169e-11
3.315e-10	22	1.1692e-11
3.33e-10	22	1.16996e-11
3.345e-10	23	1.17049e-11
3.36e-10	23	1.17007e-11
3.375e-10	23	1.16985e-11
3.39e-10	23	1.16972e-11
3.405e-10	23	1.16966e-11
3.42e-10	23	1.16964e-11
3.435e-10	23	1.16969e-11
3.45e-10	23	1.1699e-11
3.465e-10	23	1.17124e-11
3.48e-10	24	1.17096e-11
3.495e-10	24	1.17056e-11
3.51e-10	24	1.17034e-11
3.525e-10	24	1.17018e-11
3.54e-10	24	1.17008e-11
3.555e-10	24	1.16999e-11
3.57e-10	24	1.16993e-11
3.585e-10	24	1.16987e-11
3.6e-10	24	1.16984e-11
3.615e-10	24	1.16983e-11
3.63e-10	24	1.16984e-11
3.645e-10	24	1.16986e-11
3.66e-10	24	1.16991e-11
3.675e-10	24	1.16999e-11
3.69e-10	24	1.17016e-11
3.705e-10	24	1.17051e-11
3.72e-10	25	1.1726e-11
3.735e-10	25	1.17154e-11
3.75e-10	25	1.17122e-11
3.765e-10	25	1.1711e-11
3.78e-10	25	1.17105e-11
3.795e-10	25	1.17104e-11
3.81e-10	25	1.17108e-11
3.825e-10	25	1.17117e-11
3.84e-10	25	1.17139e-11
3.855e-10	25	1.17213e-11
3.87e-10	26	1.17277e-11
3.885e-10	26	1.17236e-11
3.9e-10	26	1.17216e-11
3.915e-10	26	1.17207e-11
3.93e-10	26	1.17202e-11
3.945e-10	26	1.17203e-11
3.96e-10	26	1.17209e-11
3.975e-10	26	1.17229e-11
3.99e-10	26	1.17301e-11
4.005e-10	27	1.1737e-11
4.02e-10	27	1.17325e-11
4.035e-10	27	1.17305e-11
4.05e-10	27	1.17293e-11
4.065e-10	27	1.17287e-11
4.08e-10	27	1.17287e-11
4.095e-10	27	1.17295e-11
4.11e-10	27	1.17316e-11
4.125e-10	27	1.17394e-11
4.14e-10	28	1.17448e-11
4.155e-10	28	1.17405e-11
4.17e-10	28	1.17385e-11
4.185e-10	28	1.17373e-11
4.2e-10	28	1.17367e-11
4.215e-10	28	1.17368e-11
4.23e-10	28	1.17379e-11
4.245e-10	28	1.17409e-11
4.26e-10	29	1.177e-11
4.275e-10	29	1.17512e-11
4.29e-10	29	1.17477e-11
4.305e-10	29	1.17459e-11
