tt corner
Delay	Output
0	1
2.55e-11	2
3.15e-11	3
4.35e-11	4
5.55e-11	5
6.9e-11	6
9.45e-11	7
1.14e-10	8
1.245e-10	9
1.38e-10	10
1.515e-10	11
1.65e-10	12
1.89e-10	13
2.055e-10	14
2.19e-10	15
2.325e-10	16
2.46e-10	17
2.595e-10	18
2.85e-10	19
3.015e-10	20
3.15e-10	21
3.285e-10	22
3.405e-10	23
3.54e-10	24
3.795e-10	25
3.96e-10	26
4.095e-10	27
4.23e-10	28
4.365e-10	29
4.5e-10	30
4.605e-10	31
Simulation step_size	1.5e-12
Transient simulation time	5e-09
Resolution	1.535e-11
DNL	0.661238
INL	0.651466
TDC Offset	-1.535e-11
Average Energy	1.16658e-11
ENOB	4.54011
FoM	5.01424e-13


